  Configuration Zero
   x/H    y/H    z/H     C*
  1.90   3.50   0.80  49.88
  0.30   3.50   1.00  91.06
  0.30   3.50   0.20 132.41
  0.30   3.50   0.40  91.04
  0.30   3.50   0.60  86.08
  0.30   3.50   0.80 103.44
  0.50   3.50   1.00  73.21
  0.50   3.50   0.20  58.36
  0.50   3.50   0.40  73.85
  0.50   3.50   0.60  78.17
  0.50   3.50   0.80  89.47
  0.75   3.50   1.00  73.57
  0.75   3.50   0.20  58.70
  0.75   3.50   0.40  64.84
  0.75   3.50   0.60  70.05
  0.75   3.50   0.80  81.30
  0.10   4.00   1.00  70.49
  0.10   4.00   0.20  88.34
  0.10   4.00   0.40  72.50
  0.10   4.00   0.60  68.67
  0.10   4.00   0.80  69.72
  1.00   4.00   1.00  38.23
  1.00   4.00   0.20  51.48
  1.00   4.00   0.40  51.16
  1.00   4.00   0.60  57.28
  1.00   4.00   0.80  56.40
  1.25   4.00   1.00  32.80
  1.25   4.00   0.20  37.11
  1.25   4.00   0.40  41.88
  1.25   4.00   0.60  47.33
  1.25   4.00   0.80  48.17
  1.50   4.00   1.00  28.06
  1.50   4.00   0.20  36.99
  1.50   4.00   0.40  42.29
  1.50   4.00   0.60  47.98
  1.50   4.00   0.80  37.71
  1.70   4.00   1.00  27.32
  1.70   4.00   0.20  27.23
  1.70   4.00   0.40  34.27
  1.70   4.00   0.60  34.77
  1.70   4.00   0.80  35.71
  1.90   4.00   1.00  17.36
  1.90   4.00   0.20  21.49
  1.90   4.00   0.40  24.56
  1.90   4.00   0.60  26.21
  1.90   4.00   0.80  26.21
  0.30   4.00   1.00  48.37
  0.30   4.00   0.20  60.92
  0.30   4.00   0.40  52.19
  0.30   4.00   0.60  59.34
  0.30   4.00   0.80  55.87
  0.50   4.00   1.00  47.88
  0.50   4.00   0.20  37.07
  0.50   4.00   0.40  53.73
  0.50   4.00   0.60  56.71
  0.50   4.00   0.80  58.33
  0.75   4.00   1.00  43.35
  0.75   4.00   0.20  36.94
  0.75   4.00   0.40  46.13
  0.75   4.00   0.60  48.32
  0.75   4.00   0.80  52.77
  0.10   4.50   0.20  40.43
  0.10   4.50   0.40  44.72
  0.10   4.50   0.60  38.82
  0.10   4.50   0.80  37.75
  0.10   4.50   1.00  36.79
  1.00   4.50   0.20  22.20
  1.00   4.50   0.40  27.56
  1.00   4.50   0.60  27.78
  1.00   4.50   0.80  25.95
  1.00   4.50   1.00  19.52
  1.25   4.50   1.00  19.77
  1.25   4.50   0.20  20.38
  1.25   4.50   0.40  24.14
  1.25   4.50   0.60  30.14
  1.25   4.50   0.80  27.06
  1.50   4.50   0.20  14.48
  1.50   4.50   0.40  21.13
  1.50   4.50   0.60  24.13
  1.50   4.50   0.80  19.84
  1.50   4.50   1.00  14.26
  1.70   4.50   1.00  15.79
  1.70   4.50   0.20  15.79
  1.70   4.50   0.40  15.80
  1.70   4.50   0.60  16.47
  1.70   4.50   0.80  20.06
  1.90   4.50   0.20   9.06
  1.90   4.50   0.40   9.19
  1.90   4.50   0.60   8.72
  1.90   4.50   0.80   9.03
  1.90   4.50   1.00   7.59
  0.30   4.50   1.00  27.78
  0.30   4.50   0.20  36.76
  0.30   4.50   0.40  38.40
  0.30   4.50   0.60  36.81
  0.30   4.50   0.80  34.59
  0.50   4.50   0.20  28.81
  0.50   4.50   0.40  30.14
  0.50   4.50   0.60  32.71
  0.50   4.50   0.80  34.00
  0.50   4.50   1.00  26.60
  0.75   4.50   1.00  26.52
  0.75   4.50   0.20  22.59
  0.75   4.50   0.40  28.57
  0.75   4.50   0.60  27.88
  0.75   4.50   0.80  29.06
  0.10   4.90   0.20  28.31
  0.10   4.90   0.40  33.27
  0.10   4.90   0.60  29.19
  0.10   4.90   0.80  30.04
  0.10   4.90   1.00  27.35
  1.00   4.90   0.20  13.02
  1.00   4.90   0.40  15.76
  1.00   4.90   0.60  15.84
  1.00   4.90   0.80  18.55
  1.00   4.90   1.00  13.27
  1.25   4.90   1.00  11.26
  1.25   4.90   0.20  10.55
  1.25   4.90   0.40  15.35
  1.25   4.90   0.60  14.84
  1.25   4.90   0.80  15.46
  1.50   4.90   0.20   7.73
  1.50   4.90   0.40   9.64
  1.50   4.90   0.60  14.48
  1.50   4.90   0.80  11.05
  1.50   4.90   1.00   7.64
  1.70   4.90   1.00   8.00
  1.70   4.90   0.20   7.40
  1.70   4.90   0.40   8.04
  1.70   4.90   0.60   9.35
  1.70   4.90   0.80  11.58
  1.90   4.90   0.20   4.35
  1.90   4.90   0.40   5.34
  1.90   4.90   0.60   5.59
  1.90   4.90   0.80   4.47
  1.90   4.90   1.00   3.67
  0.30   4.90   1.00  21.45
  0.30   4.90   0.20  23.80
  0.30   4.90   0.40  28.92
  0.30   4.90   0.60  27.61
  0.30   4.90   0.80  28.72
  0.50   4.90   0.20  19.96
  0.50   4.90   0.40  20.58
  0.50   4.90   0.60  22.30
  0.50   4.90   0.80  22.20
  0.50   4.90   1.00  19.27
  0.75   4.90   1.00  17.16
  0.75   4.90   0.20  15.49
  0.75   4.90   0.40  17.53
  0.75   4.90   0.60  19.91
  0.75   4.90   0.80  19.30
