  Configuration Full
  Location of trees (y/H): -4.60 -3.90 -3.20 -2.50 -1.80 -1.10 -0.40  0.40  1.10  1.80  2.50  3.20  3.90  4.60
   x/H    y/H    z/H     C*
  1.50   3.50   1.00  34.49
  1.70   3.50   0.20  32.68
  1.70   3.50   0.40  33.33
  1.70   3.50   0.60  39.04
  1.70   3.50   0.80  35.90
  1.70   3.50   1.00  33.37
  1.90   3.50   0.20  34.45
  1.90   3.50   0.40  31.94
  1.90   3.50   0.60  30.43
  1.90   3.50   0.80  31.95
  1.90   3.50   1.00  27.97
  1.00   3.50   1.00  51.87
  1.00   3.50   0.20  38.54
  1.00   3.50   0.40  35.40
  1.00   3.50   0.60  39.68
  1.00   3.50   0.80  43.33
  1.25   3.50   1.00  35.01
  1.25   3.50   0.20  24.97
  1.25   3.50   0.40  36.79
  1.25   3.50   0.60  37.72
  1.25   3.50   0.80  25.92
  0.75   3.50   1.00  57.95
  0.75   3.50   0.20  33.50
  0.75   3.50   0.40  37.86
  0.75   3.50   0.60  37.02
  0.75   3.50   0.80  59.31
  1.00   4.00   1.00  22.78
  1.00   4.00   0.20  14.04
  1.00   4.00   0.40  15.87
  1.00   4.00   0.60  16.52
  1.00   4.00   0.80  22.74
  1.25   4.00   1.00  17.50
  1.25   4.00   0.20   8.99
  1.25   4.00   0.40  16.62
  1.25   4.00   0.60  20.08
  1.25   4.00   0.80  15.13
  0.75   4.00   1.00  34.15
  0.75   4.00   0.20  11.34
  0.75   4.00   0.40  19.63
  0.75   4.00   0.60  20.25
  0.75   4.00   0.80  38.61
  0.10   4.50   0.20  89.09
  0.10   4.50   0.40  46.22
  0.10   4.50   0.60  39.28
  0.10   4.50   0.80  40.00
  0.10   4.50   1.00  38.98
  0.30   4.50   0.20  41.37
  0.30   4.50   0.40  27.89
  0.30   4.50   0.60  26.22
  0.30   4.50   0.80  25.76
  0.30   4.50   1.00  23.56
  0.50   4.50   0.20  24.65
  0.50   4.50   0.40  13.46
  0.50   4.50   0.60  17.46
  0.50   4.50   0.80  18.96
  0.50   4.50   1.00  20.90
  1.50   4.50   0.20   7.32
  1.50   4.50   0.40   9.92
  1.50   4.50   0.60  13.92
  1.50   4.50   0.80  14.44
  1.50   4.50   1.00   8.19
  1.70   4.50   0.20   6.66
  1.70   4.50   0.40   9.84
  1.70   4.50   0.60  10.55
  1.70   4.50   0.80   9.24
  1.70   4.50   1.00   7.25
  1.90   4.50   0.20   5.49
  1.90   4.50   0.40   7.67
  1.90   4.50   0.60   7.44
  1.90   4.50   0.80   7.32
  1.90   4.50   1.00   7.85
  1.25   4.50   1.00   4.04
  1.25   4.50   0.20   4.09
  1.25   4.50   0.60  11.00
  1.25   4.50   0.80   8.15
  0.75   4.50   1.00   9.35
  0.75   4.50   0.20   5.22
  0.75   4.50   0.40  11.26
  0.75   4.50   0.60  11.31
  0.75   4.50   0.80  13.84
  1.25   4.90   1.00   1.22
  1.25   4.90   0.20   1.21
  1.25   4.90   0.60   4.69
  1.25   4.90   0.80   1.98
  0.75   4.90   1.00   5.36
  0.75   4.90   0.20   4.65
  0.75   4.90   0.40   5.97
  0.75   4.90   0.60   7.95
  0.75   4.90   0.80   8.42
